,attribute
0,AcceleratedShareRepurchaseProgramAdjustment
1,AcceleratedShareRepurchasesFinalPricePaidPerShare
2,AcceleratedShareRepurchasesSettlementPaymentOrReceipt
3,AccountsAndFinancingReceivableAllowanceForCreditLoss
4,AccountsAndNotesReceivableNet
5,AccountsAndOtherReceivablesNetCurrent
6,AccountsNotesAndLoansReceivableNetCurrent
7,AccountsPayable
8,AccountsPayableAndAccruedLiabilities
9,AccountsPayableAndAccruedLiabilitiesCurrent
10,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent
11,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure
12,AccountsPayableAndAccruedLiabilitiesNoncurrent
13,AccountsPayableAndOtherAccruedLiabilities
14,AccountsPayableAndOtherAccruedLiabilitiesCurrent
15,AccountsPayableCurrent
16,AccountsPayableOtherCurrent
17,AccountsPayableOtherCurrentAndNoncurrent
18,AccountsPayableRelatedPartiesCurrent
19,AccountsPayableTradeCurrent
20,AccountsReceivableAllowanceForCreditLossExcludingAccruedInterestNoncurrent
21,AccountsReceivableBilledForLongTermContractsOrPrograms
22,AccountsReceivableChangeInMethodCreditLossExpenseReversal
23,AccountsReceivableExcludingAccruedInterestAfterAllowanceForCreditLossNoncurrent
24,AccountsReceivableGrossCurrent
25,AccountsReceivableGrossNoncurrent
26,AccountsReceivableNet
27,AccountsReceivableNetCurrent
28,AccountsReceivableNetNoncurrent
29,AccountsReceivableRelatedParties
30,AccountsReceivableSale
31,AccretionAmortizationOfDiscountsAndPremiumsInvestments
32,AccretionExpense
33,AccrualForEnvironmentalLossContingencies
34,AccrualForEnvironmentalLossContingenciesDiscount
35,AccrualForEnvironmentalLossContingenciesDiscountRate
36,AccrualForEnvironmentalLossContingenciesNet
37,AccrualForEnvironmentalLossContingenciesPayments
38,AccrualForTaxesOtherThanIncomeTaxes
39,AccrualForTaxesOtherThanIncomeTaxesCurrent
40,AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent
41,AccruedAdvertisingCurrent
42,AccruedBonusesCurrent
43,AccruedEmployeeBenefitsCurrent
44,AccruedEnvironmentalLossContingenciesCurrent
45,AccruedEnvironmentalLossContingenciesNoncurrent
46,AccruedIncomeTaxes
47,AccruedIncomeTaxesCurrent
48,AccruedIncomeTaxesNoncurrent
49,AccruedIncomeTaxesPayable
50,AccruedInsuranceCurrent
51,AccruedInsuranceCurrentAndNoncurrent
52,AccruedInsuranceNoncurrent
53,AccruedInvestmentIncomeReceivable
54,AccruedLiabilities
55,AccruedLiabilitiesAndOtherLiabilities
56,AccruedLiabilitiesCurrent
57,AccruedLiabilitiesCurrentAndNoncurrent
58,AccruedLiabilitiesForUnredeeemedGiftCards
59,AccruedMarketingCostsCurrent
60,AccruedParticipationLiabilitiesDueInNextOperatingCycle
61,AccruedProfessionalFeesCurrent
62,AccruedProfessionalFeesCurrentAndNoncurrent
63,AccruedRentCurrent
64,AccruedRentCurrentAndNoncurrent
65,AccruedRentNoncurrent
66,AccruedRoyaltiesCurrent
67,AccruedSalariesCurrent
68,AccruedSalariesCurrentAndNoncurrent
69,AccruedSalesCommissionCurrent
70,AccumulatedDepreciationDepletionAndAmortizationExpensePropertyPlantAndEquipmentCurrentCharge
71,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment
72,AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment
73,AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment1
74,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax
75,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax
76,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax
77,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax
78,AccumulatedOtherComprehensiveIncomeLossNetOfTax
79,AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities
80,AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxDebtSecurities
81,AcquiredFiniteLivedIntangibleAssetAmount
82,AcquiredFiniteLivedIntangibleAssetResidualValue
83,AcquiredFiniteLivedIntangibleAssetWeightedAverageUsefulLife
84,AcquiredIndefiniteLivedIntangibleAssetAmount
85,AdditionalCollateralAggregateFairValue
86,AdditionalPaidInCapital
87,AdditionalPaidInCapitalCommonStock
88,AdditionalPaidInCapitalPreferredStock
89,AdditionsToNoncurrentAssets
90,AdjustmentForAmortization
91,AdjustmentForLongTermIntercompanyTransactionsGrossOfTax
92,AdjustmentForLongTermIntercompanyTransactionsNetOfTax
93,AdjustmentForLongTermIntercompanyTransactionsTaxExpenseBenefit
94,AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet
95,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities
96,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther
97,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation
98,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature
99,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt
100,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebtSubsequentAdjustments
101,AdjustmentsToAdditionalPaidInCapitalOther
102,AdjustmentsToAdditionalPaidInCapitalReallocationOfMinorityInterest
103,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition
104,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue
105,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts
106,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation
107,AdjustmentsToAdditionalPaidInCapitalWarrantIssued
108,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities
109,AdministrativeServicesRevenue
110,AdvancesFromFederalHomeLoanBanks
111,AdvancesOnInventoryPurchases
112,AdvancesToAffiliate
113,AdvertisingExpense
114,AdvertisingRevenue
115,AdvertisingRevenueCost
116,AffiliateCosts
117,AffordableHousingTaxCreditsAndOtherTaxBenefitsAmount
118,AggregateIndebtedness
119,AllocatedShareBasedCompensationExpense
120,AllocatedShareBasedCompensationExpenseNetOfTax
121,AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables
122,AllowanceForDoubtfulAccountsReceivable
123,AllowanceForDoubtfulAccountsReceivableChargeOffs
124,AllowanceForDoubtfulAccountsReceivableCurrent
125,AllowanceForDoubtfulAccountsReceivableNoncurrent
126,AllowanceForDoubtfulAccountsReceivableRecoveries
127,AllowanceForDoubtfulAccountsReceivableWriteOffs
128,AllowanceForDoubtfulOtherReceivablesCurrent
129,AllowanceForLoanAndLeaseLossRecoveryOfBadDebts
130,AllowanceForLoanAndLeaseLossesAdjustmentsNet
131,AllowanceForLoanAndLeaseLossesLoansAcquired
132,AllowanceForLoanAndLeaseLossesProvisionForLossGross
133,AllowanceForLoanAndLeaseLossesProvisionForLossNet
134,AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts
135,AllowanceForLoanAndLeaseLossesWriteOffs
136,AllowanceForLoanAndLeaseLossesWriteoffsNet
137,AllowanceForNotesAndLoansReceivableCurrent
138,AlternativeInvestment
139,AlternativeInvestmentsFairValueDisclosure
140,AmortizationMethodQualifiedAffordableHousingProjectInvestments
141,AmortizationMethodQualifiedAffordableHousingProjectInvestmentsAmortization
142,AmortizationOfAboveAndBelowMarketLeases
143,AmortizationOfAcquiredIntangibleAssets
144,AmortizationOfDebtDiscountPremium
145,AmortizationOfDeferredSalesCommissions
146,AmortizationOfESOPAward
147,AmortizationOfFinancingCosts
148,AmortizationOfFinancingCostsAndDiscounts
149,AmortizationOfIntangibleAssets
150,AmortizationOfLeasedAsset
151,AmortizationOfMortgageServicingRightsMSRs
152,AmountOfDilutiveSecuritiesESOPConvertiblePreferredStock
153,AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits
154,AmountOfIneffectivenessOnNetInvestmentHedges
155,AmountOfRestrictedNetAssetsForConsolidatedAndUnconsolidatedSubsidiaries
156,AmountRecognizedInIncomeDueToInflationaryAccounting
157,AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax
158,AncillaryFeeIncomeGeneratedByServicingFinancialAssetsAmount
159,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount
160,AociLossCashFlowHedgeCumulativeGainLossAfterTax
161,ApplicationOfRecognitionProvisionsOfSFAS158EffectOnAccumulatedOtherComprehensiveIncomeNetOfTax
162,AreaOfLand
163,AreaOfRealEstateProperty
164,AssetAcquisitionConsiderationTransferred
165,AssetBackedSecuritiesAtCarryingValue
166,AssetImpairmentCharges
167,AssetManagementFees
168,AssetManagementFees1
169,AssetRetirementObligation
170,AssetRetirementObligationAccretionExpense
171,AssetRetirementObligationForeignCurrencyTranslation
172,AssetRetirementObligationForeignCurrencyTranslationGainLoss
173,AssetRetirementObligationLiabilitiesIncurred
174,AssetRetirementObligationLiabilitiesSettled
175,AssetRetirementObligationPeriodIncreaseDecrease
176,AssetRetirementObligationRevisionOfEstimate
177,AssetRetirementObligationsNoncurrent
178,Assets
179,AssetsAverageOutstanding
180,AssetsCurrent
181,AssetsFairValueAdjustment
182,AssetsFairValueDisclosure
183,AssetsFairValueDisclosureNonrecurring
184,AssetsFairValueDisclosureRecurring
185,AssetsHeldByInsuranceRegulators
186,AssetsHeldForSaleAtCarryingValue
187,AssetsHeldForSaleCurrent
188,AssetsHeldForSaleLongLived
189,AssetsHeldForSaleLongLivedFairValueDisclosure
190,AssetsHeldForSaleNotPartOfDisposalGroup
191,AssetsHeldForSaleNotPartOfDisposalGroupCurrent
192,AssetsHeldForSaleNotPartOfDisposalGroupCurrentOther
193,AssetsHeldForSaleOtherNoncurrent
194,AssetsNoncurrent
195,AssetsOfDisposalGroupIncludingDiscontinuedOperation
196,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent
197,AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent
198,AssetsSoldUnderAgreementsToRepurchaseRepurchaseLiability
199,AssumedPremiumsEarnedPropertyAndCasualty
200,AssumedPremiumsWrittenPropertyAndCasualty
201,AssumptionForFairValueOnSecuritizationDateOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesDiscountRate
202,AssumptionForFairValueOnSecuritizationDateOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesPrepaymentSpeed
203,AssumptionForFairValueOnSecuritizationDateOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesWeightedAverageLife
204,AuctionMarketPreferredSecuritiesStockSeriesValue
205,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax
206,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
207,AvailableForSaleDebtSecuritiesAmortizedCostBasis
208,AvailableForSaleDebtSecuritiesGrossUnrealizedGain
209,AvailableForSaleDebtSecuritiesGrossUnrealizedLoss
210,AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedGainBeforeTax
211,AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedLossBeforeTax
212,AvailableForSaleEquitySecuritiesAmortizedCostBasis
213,AvailableForSaleEquitySecuritiesGrossUnrealizedGain
214,AvailableForSaleEquitySecuritiesGrossUnrealizedLoss
215,AvailableForSaleSecurities
216,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax
217,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
218,AvailableForSaleSecuritiesAmortizedCost
219,AvailableForSaleSecuritiesAndHeldToMaturitySecurities
220,AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax
221,AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss
222,AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses
223,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss
224,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses
225,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue
226,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss
227,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses
228,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue
229,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue
230,AvailableForSaleSecuritiesCurrent
231,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost
232,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue
233,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost
234,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue
235,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost
236,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue
237,AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost
238,AvailableForSaleSecuritiesDebtMaturitiesFairValue
239,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis
240,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue
241,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis
242,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue
243,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis
244,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue
245,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis
246,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue
247,AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate
248,AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis
249,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost
250,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue
251,AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost
252,AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue
253,AvailableForSaleSecuritiesDebtSecurities
254,AvailableForSaleSecuritiesDebtSecuritiesCurrent
255,AvailableForSaleSecuritiesDebtSecuritiesNoncurrent
256,AvailableForSaleSecuritiesEquitySecurities
257,AvailableForSaleSecuritiesFairValueDisclosure
258,AvailableForSaleSecuritiesGrossRealizedGainLossNet
259,AvailableForSaleSecuritiesGrossRealizedGains
260,AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds
261,AvailableForSaleSecuritiesGrossRealizedLosses
262,AvailableForSaleSecuritiesGrossUnrealizedGains
263,AvailableForSaleSecuritiesGrossUnrealizedLoss
264,AvailableForSaleSecuritiesGrossUnrealizedLosses1
265,AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions
266,AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositionsLessThanOneYear
267,AvailableForSaleSecuritiesNoncurrent
268,AvailableForSaleSecuritiesPledgedAsCollateral
269,AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses1
270,AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2
271,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses1
272,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2
273,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses1
